CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Tulagi,SB,81.03,overcast clouds,-9.0996,160.1476,No hotel found
533,Beira,MZ,82.49,clear sky,-19.8436,34.8389,Hotel Savoy
538,Kudahuvadhoo,MV,80.28,few clouds,2.6708,72.8944,No hotel found
540,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,No hotel found
544,Maloh,PH,78.21,overcast clouds,9.056,122.9851,No hotel found
545,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Deyna's City Inn
557,Tautira,PF,80.56,light rain,-17.7333,-149.15,No hotel found
560,Nortelandia,BR,87.04,scattered clouds,-14.4547,-56.8028,No hotel found
569,Jizan,SA,79.74,clear sky,17.3333,42.6667,No hotel found
572,Yenagoa,NG,82.11,few clouds,4.9247,6.2642,Peretimi Hotels Ltd.
574,Cap Malheureux,MU,79.47,light rain,-19.9842,57.6142,Cape Garden
576,Katsina,NG,77.65,overcast clouds,12.9894,7.6006,Fadama view Hotel
578,Harper,LR,80.76,clear sky,4.375,-7.7169,No hotel found
579,Oussouye,SN,84.38,broken clouds,12.485,-16.5469,Campement Alulum
581,San Carlos De Bariloche,AR,81.25,few clouds,-41.1456,-71.3082,Kronos
584,Cape Canaveral,US,86.02,few clouds,28.4058,-80.6048,Holiday Inn Club Vacations Cape Canaveral Beach Resort
585,Anito,PH,77.31,scattered clouds,12.4497,125.2886,No hotel found
588,Kandrian,PG,78.64,overcast clouds,-6.2167,149.55,No hotel found
593,Port Hedland,AU,84.24,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
597,Cartagena,CO,87.42,few clouds,10.3997,-75.5144,Hotel Bellamar
598,Wamba,NG,82.47,clear sky,8.9333,8.6,No hotel found
600,Gamba,GA,79.92,light rain,-2.65,10.0,No hotel found
604,Mayumba,GA,80.37,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
610,Pangai,TO,80.71,light intensity shower rain,-19.8,-174.35,Billy's Place
613,High Rock,BS,78.82,clear sky,26.6208,-78.2833,No hotel found
614,Lazaro Cardenas,MX,86.56,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
617,Pimentel,PE,84.49,scattered clouds,-6.8367,-79.9342,Hospedaje Calle del Sol
619,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Posada San Jose
621,Bo Phloi,TH,77.31,overcast clouds,14.3236,99.5161,블루사파이어
625,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,No hotel found
627,Karangampel,ID,77.31,moderate rain,-6.4622,108.4519,No hotel found
628,Satipo,PE,87.26,broken clouds,-11.2522,-74.6386,Hospedaje Henrys
631,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
636,Kaura Namoda,NG,81.43,overcast clouds,12.5898,6.5779,No hotel found
649,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Forum
651,Bafoulabe,ML,88.14,broken clouds,13.8065,-10.8321,No hotel found
656,Jau,BR,78.93,moderate rain,-22.2964,-48.5578,Motel Saint Tropez
659,Bacolod,PH,76.14,broken clouds,10.6667,122.95,Northwest Inn
662,Sola,VU,82.24,few clouds,-13.8833,167.55,No hotel found
667,Labuan,MY,79.16,few clouds,5.2767,115.2417,Labuan Avenue Hotel
670,Kerouane,GN,81.82,clear sky,9.2667,-9.0167,No hotel found
673,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Hotel de Inhambane
